"ME14.E1M1R" "ME14.E2M1R" "ME14.E3M1R" "ME14.E5M1R" "ME14.E6M1R" "ME14.E6M1L" "ME14.E8M1L" "ME13.E1M1R" "ME13.E2M1L" "ME13.E3M1L" "ME13.E5M1R" "ME13.E7M1L" "ME13.E9M1R" "ME13.EXM1L"
"ENSMUSG00000000001" 2850 3139 3158 3368 3474 2831 3084 3586 3246 2937 3233 3459 3699 3065
"ENSMUSG00000000003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000028" 684 798 720 621 751 803 767 696 581 552 667 667 646 677
"ENSMUSG00000000031" 61401 63088 71951 56457 64182 67255 74429 72340 62422 54226 60319 77541 64352 46454
"ENSMUSG00000000037" 532 514 700 639 722 645 725 611 518 543 550 581 580 352
"ENSMUSG00000000049" 4 0 0 0 3 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000056" 1059 1274 1046 960 1139 966 1076 1308 1241 1153 1320 1347 1309 1134
"ENSMUSG00000000058" 177 254 361 279 319 251 261 158 136 170 128 151 152 167
"ENSMUSG00000000078" 1455 1464 1687 1776 2055 2011 2429 1337 1046 1160 1063 1347 1239 832
"ENSMUSG00000000085" 1498 1631 1775 1513 1595 1584 1736 1601 1453 1420 1146 1559 1562 1166
"ENSMUSG00000000088" 768 821 1149 716 844 1324 1171 764 635 575 613 794 838 710
"ENSMUSG00000000093" 2488 2385 1532 2012 2159 1742 2031 2802 2832 2021 2789 2969 2517 2478
"ENSMUSG00000000094" 45 43 41 22 28 34 11 62 21 27 53 50 47 21
"ENSMUSG00000000103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000120" 2044 2553 2683 2294 2201 2775 2287 1574 1120 1333 1085 1660 1215 979
"ENSMUSG00000000125" 62 55 50 74 98 50 60 42 42 14 38 28 28 30
"ENSMUSG00000000126" 251 234 207 283 174 133 240 306 260 201 209 252 253 262
"ENSMUSG00000000127" 1018 1077 1279 1067 1208 1343 1326 1052 914 911 956 945 1064 758
"ENSMUSG00000000131" 4420 4892 4601 4429 4414 4477 4748 4803 4169 3928 4071 4745 4546 3546
"ENSMUSG00000000134" 1305 1398 1308 1218 1386 1553 1543 1103 933 973 950 1114 1056 852
"ENSMUSG00000000142" 2566 2886 2394 2813 2563 2369 2478 3234 3318 2664 3533 2914 3041 2545
"ENSMUSG00000000148" 581 703 501 547 547 349 475 548 586 490 636 616 613 469
"ENSMUSG00000000149" 2361 2973 2358 2616 2811 2837 2644 2161 2250 1880 1863 2122 2146 1869
"ENSMUSG00000000154" 9 9 28 12 8 3 10 8 12 11 13 14 18 19
"ENSMUSG00000000157" 0 0 0 0 0 1 8 2 0 0 0 5 0 0
"ENSMUSG00000000159" 0 0 0 2 0 0 0 0 0 3 4 0 2 0
"ENSMUSG00000000167" 43 19 28 32 44 49 45 48 40 21 38 30 37 29
"ENSMUSG00000000168" 1074 1174 1002 1197 1119 1129 1104 1041 954 931 920 1141 1102 847
"ENSMUSG00000000171" 719 1071 1379 1064 990 1486 1336 1056 821 772 979 1141 1043 764
"ENSMUSG00000000182" 2 7 4 2 4 0 2 4 0 6 5 2 2 2
"ENSMUSG00000000183" 0 0 0 1 0 1 0 2 0 0 0 12 0 0
"ENSMUSG00000000184" 30389 34050 32506 35240 34550 33004 32558 21679 16304 16566 18260 20306 20016 16336
"ENSMUSG00000000194" 2228 2078 1797 2061 1994 1517 1788 2039 2006 1917 1958 2035 1961 1650
"ENSMUSG00000000197" 488 481 634 504 521 434 543 402 533 361 355 324 354 305
"ENSMUSG00000000202" 29 15 5 19 27 14 20 0 0 1 8 3 1 0
"ENSMUSG00000000204" 15 4 6 9 4 1 0 3 0 1 0 3 4 0
"ENSMUSG00000000214" 1 0 5 2 2 0 2 0 0 2 0 1 0 0
"ENSMUSG00000000215" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000216" 54 105 90 76 55 134 60 14 23 22 24 22 42 14
"ENSMUSG00000000223" 818 757 717 821 761 703 945 923 781 709 700 807 817 472
"ENSMUSG00000000244" 8 12 34 17 13 15 9 15 15 11 3 13 23 7
"ENSMUSG00000000247" 5 4 22 0 20 1 4 5 0 3 6 8 5 2
"ENSMUSG00000000248" 15 17 16 15 1 5 47 14 8 15 12 15 5 12
"ENSMUSG00000000253" 128 178 150 129 113 125 191 170 146 116 102 135 135 136
"ENSMUSG00000000263" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSMUSG00000000266" 868 925 1008 1041 902 1019 1066 776 546 648 576 654 622 593
"ENSMUSG00000000275" 500 584 587 500 489 453 514 316 336 381 305 448 329 253
"ENSMUSG00000000276" 522 556 613 482 595 515 575 629 508 520 492 578 635 484
"ENSMUSG00000000278" 854 1024 794 851 921 881 963 810 668 811 665 780 823 551
"ENSMUSG00000000282" 1161 1397 1104 925 1190 1167 1414 1118 1069 811 990 1139 953 729
"ENSMUSG00000000290" 51 63 52 53 69 64 79 27 16 41 25 29 35 14
"ENSMUSG00000000295" 373 359 464 370 435 577 554 448 327 341 378 438 365 340
"ENSMUSG00000000296" 155 185 229 188 243 349 248 247 228 160 268 185 243 186
"ENSMUSG00000000301" 88 56 44 24 31 49 45 49 41 18 16 29 36 20
"ENSMUSG00000000303" 2140 3105 2522 1889 2139 2480 2696 1441 1453 1301 1712 1692 1173 1250
"ENSMUSG00000000305" 434 454 642 351 318 440 369 241 336 255 214 317 279 117
"ENSMUSG00000000308" 30 18 22 14 19 24 22 14 24 17 37 29 26 58
"ENSMUSG00000000317" 567 492 452 380 418 271 402 396 278 353 221 351 356 255
"ENSMUSG00000000318" 0 0 0 0 0 17 7 0 0 0 0 0 0 0
"ENSMUSG00000000320" 153 189 137 160 89 111 161 128 145 111 145 181 131 106
"ENSMUSG00000000325" 894 1116 893 907 944 952 938 991 1176 806 1190 968 952 810
"ENSMUSG00000000326" 683 844 675 635 685 745 804 585 625 509 418 574 512 436
"ENSMUSG00000000339" 689 767 786 647 571 669 748 765 661 578 550 787 763 594
"ENSMUSG00000000340" 385 386 398 394 374 416 483 488 410 404 400 506 495 392
"ENSMUSG00000000346" 1422 1540 1712 1243 1635 1817 1687 1340 1008 1027 930 1233 1276 972
"ENSMUSG00000000355" 355 386 507 395 398 471 437 402 322 314 324 403 410 317
"ENSMUSG00000000359" 180 163 134 180 135 133 81 6 10 11 7 5 13 0
"ENSMUSG00000000365" 33 12 65 76 58 68 41 46 68 82 71 52 71 41
"ENSMUSG00000000374" 1260 1526 1334 1654 1589 1185 1355 1625 1510 1366 1468 1584 1632 1321
"ENSMUSG00000000378" 689 871 665 768 749 796 852 707 778 594 689 714 776 607
"ENSMUSG00000000381" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000384" 1085 1154 892 873 1015 898 1071 972 918 832 737 941 993 741
"ENSMUSG00000000385" 3 11 3 4 5 4 6 10 16 5 9 5 12 18
"ENSMUSG00000000386" 3 11 0 17 13 6 10 1 4 12 4 10 12 0
"ENSMUSG00000000392" 420 430 564 589 542 592 496 251 321 427 155 274 249 180
"ENSMUSG00000000394" 0 0 0 1 0 0 2 0 0 1 0 0 0 0
"ENSMUSG00000000399" 745 644 716 646 633 583 715 614 648 522 544 649 667 550
"ENSMUSG00000000402" 755 763 1357 685 782 791 885 909 828 843 693 1084 966 599
"ENSMUSG00000000409" 129 168 110 116 107 115 163 122 124 118 120 96 94 112
"ENSMUSG00000000411" 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"ENSMUSG00000000416" 570 757 746 748 700 838 841 795 536 718 672 860 723 602
"ENSMUSG00000000420" 2155 2162 2104 2278 2374 1960 2408 2215 1808 1963 1678 2159 2132 1769
"ENSMUSG00000000435" 0 4 9 4 4 0 2 13 5 3 4 39 18 5
"ENSMUSG00000000439" 658 714 731 637 668 690 706 748 725 593 660 804 728 583
"ENSMUSG00000000440" 3 38 36 11 22 29 3 7 7 10 8 6 3 4
"ENSMUSG00000000441" 3241 3415 3323 3424 3468 2984 3674 3615 3276 3096 3061 3669 3753 3159
"ENSMUSG00000000486" 152 142 163 101 105 128 136 130 148 125 195 141 125 160
"ENSMUSG00000000489" 487 578 378 482 529 404 454 233 227 171 164 279 222 130
"ENSMUSG00000000530" 395 531 285 397 375 374 347 337 402 314 243 352 383 239
"ENSMUSG00000000531" 728 860 881 764 830 1008 938 555 468 403 511 541 463 457
"ENSMUSG00000000532" 820 1374 1155 1128 1002 992 1096 1042 1138 1007 1368 1045 970 888
"ENSMUSG00000000538" 1331 1319 1066 1189 1259 1067 1304 1212 1312 1153 1145 1192 1248 963
"ENSMUSG00000000544" 10 4 2 5 3 0 1 0 4 3 0 0 1 0
"ENSMUSG00000000552" 1120 1200 1086 862 983 1115 1163 868 829 668 751 928 627 653
"ENSMUSG00000000555" 2312 2786 2203 2666 2799 2316 2627 2598 2252 2139 2259 2374 2322 1961
"ENSMUSG00000000560" 85 134 169 165 136 164 136 146 207 166 143 101 112 104
"ENSMUSG00000000561" 677 744 645 854 729 615 762 795 588 753 714 756 796 639
"ENSMUSG00000000562" 2 4 9 3 1 3 0 0 0 0 0 0 5 0
"ENSMUSG00000000563" 2151 2436 3369 2315 2510 3629 3021 2775 1854 2092 1897 2664 2462 2246
"ENSMUSG00000000567" 1424 1456 1509 963 1376 1887 1922 1608 1033 1219 1108 1859 1387 1017
"ENSMUSG00000000568" 10304 11026 11405 9602 10201 12221 11995 10727 9932 8586 10555 10236 9807 8689
"ENSMUSG00000000579" 41 41 50 15 14 22 10 40 19 28 27 37 38 29
"ENSMUSG00000000581" 439 417 586 506 503 520 565 606 541 474 591 542 678 478
"ENSMUSG00000000594" 649 538 659 439 548 737 571 430 442 369 322 465 417 314
"ENSMUSG00000000600" 2131 2275 2853 2725 2528 2475 2449 2619 2066 2300 2277 2719 2648 1991
"ENSMUSG00000000605" 1126 1322 1377 1485 1198 1104 1335 1306 1226 1121 1021 1177 1099 1034
"ENSMUSG00000000606" 0 0 6 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000617" 0 8 0 13 0 0 0 0 3 0 1 0 0 0
"ENSMUSG00000000627" 133 180 138 134 163 106 129 176 169 161 216 202 191 201
"ENSMUSG00000000628" 1455 1689 1427 1246 1459 1675 1479 1085 1078 976 1226 1268 1156 1033
"ENSMUSG00000000631" 4273 3887 3810 3848 3632 3566 3962 3123 3091 2767 3085 3210 2928 2150
