"ensembl_gene_id","start_position","chromosome_name","startTAD","endTAD"
"ENSMUSG00000118505",87550099,"3",86912500,87800000
"ENSMUSG00000108728",98469896,"15",98180000,98575000
"ENSMUSG00000102190",45775424,"3",45337500,47072500
"ENSMUSG00000114817",22049514,"13",21900000,22150000
"ENSMUSG00000107673",14366951,"7",13635000,15500000
"ENSMUSG00000099776",10806574,"Y",10306574,11306574
"ENSMUSG00000101070",80529823,"Y",80029823,81029823
"ENSMUSG00000101779",32305046,"Y",31805046,32805046
"ENSMUSG00000101542",54604372,"Y",54104372,55104372
"ENSMUSG00000095806",20374493,"7",19975000,20662500
"ENSMUSG00000108287",3046372,"7",3002500,4497500
"ENSMUSG00000095797",5469438,"14",4750000,5990000
"ENSMUSG00000062342",33249612,"13",32870000,33930000
"ENSMUSG00000115460",16830234,"15",15250000,17125000
"ENSMUSG00000110454",66780080,"8",66492500,67305000
"ENSMUSG00000104491",45775933,"3",45337500,47072500
"ENSMUSG00000025370",16728756,"15",15250000,17125000
"ENSMUSG00000097961",88759471,"X",87607500,90032500
"ENSMUSG00000085006",94661830,"3",94287500,94850000
"ENSMUSG00000118233",53128684,"19",53050000,53600000
"ENSMUSG00000015852",87250758,"3",86912500,87700000
"ENSMUSG00000082462",154198754,"X",154060000,155345000
"ENSMUSG00000113324",69697811,"13",69575000,70587500
"ENSMUSG00000112494",13927198,"10",13285000,14275000
"ENSMUSG00000107193",43026548,"5",42050000,43645000
"ENSMUSG00000083978",154226501,"X",154060000,155345000
"ENSMUSG00000079497",29744919,"2",29565000,30220000
"ENSMUSG00000074887",43214039,"7",40977500,44230000
"ENSMUSG00000115762",103463919,"14",103200000,103905000
"ENSMUSG00000096042",156344200,"4",155790000,156345000
"ENSMUSG00000054497",131629823,"6",131407500,133155000
"ENSMUSG00000029368",90460897,"5",90130000,90725000
"ENSMUSG00000115105",100655761,"14",100275000,101500000
"ENSMUSG00000106536",97262355,"3",96600000,97500000
"ENSMUSG00000098627",89826519,"9",89597500,90080000
"ENSMUSG00000002908",70842049,"8",70475000,71300000
"ENSMUSG00000107371",118994561,"5",118705000,119230000
"ENSMUSG00000112591",6281019,"12",5030000,7990000
"ENSMUSG00000111827",80003838,"9",79780000,80192500
"ENSMUSG00000112862",72717931,"10",72450000,73670000
"ENSMUSG00000114592",78273469,"13",78167500,79337500
"ENSMUSG00000024276",23954692,"18",23650000,24227500
"ENSMUSG00000059991",144545902,"5",144100000,144770000
"ENSMUSG00000070366",129257031,"7",128795000,129590000
"ENSMUSG00000095953",31142760,"12",30740000,31812500
"ENSMUSG00000029470",122707544,"5",122400000,122830000
"ENSMUSG00000018907",70315610,"11",7e+07,70850000
"ENSMUSG00000026781",23068167,"2",22750000,23505000
"ENSMUSG00000079343",124624625,"6",124392500,125312500
"ENSMUSG00000021458",62964893,"13",62550000,63350000
"ENSMUSG00000104745",97273876,"3",96600000,97500000
"ENSMUSG00000087143",78198017,"13",76882500,78347500
"ENSMUSG00000083873",22057346,"13",21900000,22527500
"ENSMUSG00000092581",79913200,"9",79725000,80075000
"ENSMUSG00000098945",106286445,"7",105800000,107050000
"ENSMUSG00000115721",100812187,"14",100300000,101500000
"ENSMUSG00000104511",46413402,"3",45337500,47072500
"ENSMUSG00000114848",39839784,"14",39500000,41055000
"ENSMUSG00000100625",5855508,"13",4630000,6530000
"ENSMUSG00000092565",79838108,"9",79600000,80050000
"ENSMUSG00000100286",80536406,"Y",80036406,81036406
"ENSMUSG00000057244",129622990,"5",129312500,130250000
"ENSMUSG00000111512",60548195,"9",59700000,60700000
"ENSMUSG00000082869",22078253,"13",21940000,23525000
"ENSMUSG00000034898",79805094,"9",79600000,80050000
"ENSMUSG00000083303",32880362,"11",32635000,33087500
"ENSMUSG00000106501",43039737,"5",42050000,43645000
"ENSMUSG00000038256",97203662,"3",96600000,97500000
"ENSMUSG00000100573",119108234,"5",118715000,119600000
"ENSMUSG00000100249",3076875,"X",3050000,4950000
"ENSMUSG00000083431",37074022,"2",36200000,37275000
"ENSMUSG00000096401",20136502,"8",19800000,22045000
"ENSMUSG00000105416",43059255,"5",42050000,43650000
"ENSMUSG00000101833",80681811,"Y",80181811,81181811
"ENSMUSG00000112149",52523022,"10",52375000,53350000
"ENSMUSG00000091292",3086001,"7",3005000,4475000
"ENSMUSG00000084072",22083466,"13",21940000,23525000
"ENSMUSG00000022337",43477229,"15",42925000,43770000
"ENSMUSG00000053389",131659118,"6",131417500,132892500
"ENSMUSG00000051034",129654593,"5",129312500,130250000
"ENSMUSG00000100574",89636206,"Y",89136206,90136206
"ENSMUSG00000112791",52528519,"10",52375000,53350000
"ENSMUSG00000109649",7957288,"14",7745000,8600000
"ENSMUSG00000074553",40006220,"14",39520000,40895000
"ENSMUSG00000111259",118930071,"4",118640000,119300000
"ENSMUSG00000095457",106323414,"7",105715000,107085000
"ENSMUSG00000105087",43143831,"5",42050000,43650000
"ENSMUSG00000111558",25349498,"9",25085000,25575000
"ENSMUSG00000096426",3193887,"X",3050000,4950000
"ENSMUSG00000082847",88897696,"X",87650000,90175000
"ENSMUSG00000071341",85511121,"6",85300000,86350000
"ENSMUSG00000100742",10885361,"Y",10385361,11385361
"ENSMUSG00000049576",52542320,"10",52375000,53350000
"ENSMUSG00000079421",35375562,"2",35070000,35810000
"ENSMUSG00000100330",89656606,"Y",89156606,90156606
"ENSMUSG00000108356",72013896,"6",71805000,72320000
"ENSMUSG00000082524",144723627,"5",144082500,144777500
"ENSMUSG00000081870",154237234,"X",154060000,155345000
"ENSMUSG00000107972",3097437,"7",3005000,4475000
"ENSMUSG00000045251",127418967,"7",126835000,127945000
"ENSMUSG00000081167",88959217,"X",87640000,90175000
"ENSMUSG00000103626",14383922,"3",13895000,15255000
"ENSMUSG00000031710",83290352,"8",82860000,83560000
"ENSMUSG00000084123",143928534,"4",143425000,144545000
"ENSMUSG00000081623",66032183,"1",65247500,66107500
"ENSMUSG00000004768",33719887,"1",33662500,34467500
"ENSMUSG00000049929",106920625,"X",106702500,107575000
"ENSMUSG00000084298",3225600,"X",3055000,4825000
"ENSMUSG00000108344",72073052,"6",71805000,72315000
"ENSMUSG00000096386",20417942,"7",19980000,20650000
"ENSMUSG00000098449",76304876,"5",75870000,76950000
"ENSMUSG00000028974",149104146,"4",148475000,149525000
"ENSMUSG00000111944",31198374,"12",30730000,31875000
"ENSMUSG00000100730",10930578,"Y",10430578,11430578
"ENSMUSG00000086732",31574967,"6",31470000,32715000
"ENSMUSG00000084060",89005370,"X",87640000,90175000
"ENSMUSG00000100145",2856974,"Y",2356974,3356974
"ENSMUSG00000032212",70542754,"9",70137500,71075000
"ENSMUSG00000043388",144735915,"5",144082500,144777500
"ENSMUSG00000108259",3102327,"7",3005000,4475000
"ENSMUSG00000069171",78188973,"13",76880000,78340000
"ENSMUSG00000112552",52594012,"10",52375000,53350000
"ENSMUSG00000107568",124561215,"6",124372500,125100000
"ENSMUSG00000108355",72087359,"6",71805000,72315000
"ENSMUSG00000095852",2830699,"Y",2330699,3330699
"ENSMUSG00000115681",60120540,"15",59770000,60940000
"ENSMUSG00000034219",129683391,"5",129312500,130250000
"ENSMUSG00000059179",16729996,"5",16377500,17002500
"ENSMUSG00000069299",22084440,"13",21940000,23525000
"ENSMUSG00000055452",3109020,"7",3005000,4475000
"ENSMUSG00000038521",124530345,"6",124372500,125100000
"ENSMUSG00000100567",11010496,"Y",10510496,11510496
"ENSMUSG00000111600",25450462,"9",25150000,25620000
"ENSMUSG00000015854",87357881,"3",86912500,87700000
"ENSMUSG00000081775",84697863,"4",83620000,85100000
"ENSMUSG00000030213",136506167,"6",136337500,136910000
"ENSMUSG00000080825",104001066,"X",103525000,104775000
"ENSMUSG00000084133",118942060,"4",118645000,119290000
"ENSMUSG00000095907",3231695,"X",3055000,4825000
"ENSMUSG00000110533",66845797,"8",66492500,67305000
"ENSMUSG00000082311",89059376,"X",87650000,90175000
"ENSMUSG00000089766",5727206,"19",5450000,6275000
"ENSMUSG00000094545",20441670,"7",19975000,20662500
"ENSMUSG00000114808",58762385,"13",58635000,59700000
"ENSMUSG00000022383",85734983,"15",85025000,86047500
"ENSMUSG00000107523",3115996,"7",3005000,4475000
"ENSMUSG00000047671",117126794,"4",116875000,117360000
"ENSMUSG00000114231",58775458,"13",58660000,59675000
"ENSMUSG00000039774",47091909,"4",46560000,47402500
"ENSMUSG00000107410",85529452,"6",85300000,86350000
"ENSMUSG00000059663",154339225,"X",154067500,155332500
"ENSMUSG00000094838",11197024,"Y",10697024,11697024
"ENSMUSG00000086413",84741475,"4",83620000,85100000
"ENSMUSG00000118125",5728088,"19",5450000,6275000
"ENSMUSG00000081334",22092119,"13",21945000,23525000
"ENSMUSG00000108044",3120113,"7",3005000,4475000
"ENSMUSG00000116842",18482056,"16",18290000,18875000
"ENSMUSG00000101319",11251236,"Y",10751236,11751236
"ENSMUSG00000114862",40294120,"14",39570000,41385000
"ENSMUSG00000029123",37446825,"5",37215000,37757500
"ENSMUSG00000081458",89087096,"X",87650000,90265000
"ENSMUSG00000031169",8193848,"X",7767500,8350000
"ENSMUSG00000024939",5728087,"19",5450000,6275000
"ENSMUSG00000112168",72940238,"10",72330000,74350000
"ENSMUSG00000081033",89111017,"X",87847500,90220000
"ENSMUSG00000109903",16791810,"5",16375000,17150000
"ENSMUSG00000008601",88542029,"3",88095000,89100000
"ENSMUSG00000098036",14428492,"3",13900000,15265000
"ENSMUSG00000080876",3276856,"X",3050000,4950000
"ENSMUSG00000042888",101197690,"14",100300000,101525000
"ENSMUSG00000037022",79263598,"8",78035000,79705000
"ENSMUSG00000006611",23702034,"13",23505000,23810000
"ENSMUSG00000118003",53134472,"19",53050000,53600000
"ENSMUSG00000110637",20381081,"8",19890000,22325000
"ENSMUSG00000083923",89281118,"X",88060000,90220000
"ENSMUSG00000107956",3128146,"7",3005000,4475000
"ENSMUSG00000099854",16835914,"5",16375000,17150000
"ENSMUSG00000066643",8973892,"12",8645000,9040000
"ENSMUSG00000071793",20385782,"8",19890000,22325000
"ENSMUSG00000073765",118954274,"4",118712500,119312500
"ENSMUSG00000099611",22099762,"13",21945000,23525000
"ENSMUSG00000094658",2830680,"Y",2330680,3330680
"ENSMUSG00000112368",55275381,"12",55110000,55800000
"ENSMUSG00000083144",3328043,"X",3050000,4950000
"ENSMUSG00000118508",89336619,"X",88225000,90175000
"ENSMUSG00000117788",28033464,"19",27502500,28862500
"ENSMUSG00000118413",3149991,"7",3005000,4475000
"ENSMUSG00000094762",20473960,"7",19975000,20662500
"ENSMUSG00000108483",127434422,"7",126835000,127945000
"ENSMUSG00000042607",5383386,"6",4475000,5575000
"ENSMUSG00000042529",61022564,"11",60577500,61597500
"ENSMUSG00000028680",117128655,"4",116875000,117360000
"ENSMUSG00000081502",154399578,"X",154067500,155332500
"ENSMUSG00000083597",89397111,"X",88260000,90125000
"ENSMUSG00000114543",40329444,"14",39595000,41547500
"ENSMUSG00000101084",28088856,"19",27502500,28862500
"ENSMUSG00000083918",3404837,"X",3055000,4825000
"ENSMUSG00000111994",72973303,"10",72470000,74355000
"ENSMUSG00000082584",154436056,"X",154075000,155345000
"ENSMUSG00000086725",29170909,"11",29125000,30810000
"ENSMUSG00000114280",40449117,"14",39655000,41357500
"ENSMUSG00000117862",28146096,"19",27500000,28875000
"ENSMUSG00000105706",16981036,"5",16600000,17780000
"ENSMUSG00000081254",32910373,"11",32625000,33110000
"ENSMUSG00000101397",122176015,"6",121520000,122547500
"ENSMUSG00000074449",20337664,"8",19840000,22550000
"ENSMUSG00000094558",3441731,"X",3060000,4950000
"ENSMUSG00000091273",17223710,"5",16875000,17782500
"ENSMUSG00000025051",154482002,"X",154075000,155345000
"ENSMUSG00000085402",32903137,"11",32625000,33110000
"ENSMUSG00000114600",78275221,"13",78167500,79337500
"ENSMUSG00000020463",29172890,"11",29125000,30810000
"ENSMUSG00000022788",16416917,"16",16007500,16925000
"ENSMUSG00000056493",142401497,"5",141242500,142825000
"ENSMUSG00000104526",42170845,"4",41790000,42700000
"ENSMUSG00000096663",20509617,"7",19980000,20680000
"ENSMUSG00000053080",7417625,"19",7100000,7525000
"ENSMUSG00000101789",11345842,"Y",10845842,11845842
"ENSMUSG00000029563",14901349,"6",14730000,16925000
"ENSMUSG00000101823",72104201,"6",71845000,72315000
"ENSMUSG00000111216",35142313,"10",34360000,36665000
"ENSMUSG00000096903",20533837,"7",19975000,20690000
"ENSMUSG00000039067",107580381,"8",107122500,107822500
"ENSMUSG00000056091",72097592,"6",71805000,72315000
"ENSMUSG00000072888",154575228,"X",154075000,155345000
"ENSMUSG00000118434",42216908,"4",41790000,42700000
"ENSMUSG00000110837",35242123,"10",34350000,36680000
"ENSMUSG00000079478",5730303,"19",5450000,6275000
"ENSMUSG00000071796",20262613,"8",19800000,22150000
"ENSMUSG00000081076",33038816,"11",32595000,33150000
"ENSMUSG00000100015",11465876,"Y",10965876,11965876
"ENSMUSG00000117530",14830668,"18",14750000,16200000
"ENSMUSG00000054753",3154658,"7",3005000,4475000
"ENSMUSG00000111753",35478827,"10",34350000,36700000
